iter	RMSE
0	32.8621328
1	32.01499265
2	31.21163514
3	30.42472747
4	29.72545808
5	29.08009721
6	28.43195577
7	27.84338068
8	27.24105782
9	26.67452439
10	26.19423263
11	25.73373344
12	25.29594585
13	24.87905459
14	24.47208171
15	24.1105049
16	23.74896809
17	23.42476323
18	23.10407742
19	22.80601059
20	22.51515833
21	22.28598167
22	22.05214666
23	21.8011017
24	21.57459376
25	21.34395152
26	21.13779765
27	20.94222184
28	20.76509372
29	20.57858951
30	20.4354955
31	20.28031352
32	20.14012071
33	20.01172003
34	19.89248844
35	19.77348814
36	19.63143806
37	19.52122898
38	19.40996145
39	19.27378039
40	19.15953958
41	19.07364285
42	18.98144455
43	18.8918271
44	18.80125863
45	18.71837438
46	18.64627495
47	18.56934254
48	18.50062854
49	18.43886556
50	18.36453895
51	18.30805363
52	18.25582718
53	18.18207478
54	18.12561053
55	18.07375654
56	18.02543408
57	17.96556489
58	17.90575056
59	17.85046942
60	17.79983155
61	17.75790912
62	17.71411382
63	17.67103071
64	17.63634136
65	17.59952924
66	17.56786394
67	17.53016699
68	17.50155996
69	17.4664257
70	17.4382141
71	17.41168248
72	17.38716171
73	17.36700734
74	17.3321497
75	17.29723949
76	17.26307808
77	17.24113887
78	17.21060227
79	17.18449548
80	17.15803885
81	17.13471366
82	17.10868524
83	17.08834542
84	17.06626883
85	17.04619795
86	17.02838444
87	17.01053775
88	16.98078117
89	16.95867312
90	16.94033664
91	16.92000442
92	16.89721259
93	16.87645084
94	16.85444674
95	16.82773254
96	16.80662564
97	16.78729486
98	16.76775642
99	16.7481396
100	16.73424507
101	16.70536521
102	16.68394268
103	16.6664686
104	16.65014886
105	16.63366132
106	16.61975999
107	16.60590206
108	16.57911558
109	16.56088106
110	16.55272648
111	16.5278382
112	16.51455635
113	16.49622448
114	16.48104823
115	16.46289619
116	16.44640325
117	16.43522202
118	16.4252954
119	16.40542436
120	16.39846426
121	16.38913347
122	16.37794176
123	16.36141229
124	16.35105898
125	16.33806272
126	16.32719303
127	16.30204873
128	16.2838167
129	16.27263139
130	16.26007839
131	16.24800044
132	16.23542854
133	16.22132869
134	16.20054911
135	16.18865628
136	16.16196107
137	16.14506568
138	16.13862389
139	16.12043119
140	16.10268155
141	16.08961902
142	16.07967721
143	16.06454308
144	16.04931491
145	16.03531797
146	16.02225418
147	16.00481516
148	15.99621514
149	15.99046377
150	15.98414594
151	15.96045848
152	15.95136338
153	15.9425364
154	15.9248853
155	15.90612933
156	15.87133588
157	15.85250624
158	15.84368
159	15.83671412
160	15.82846166
161	15.82004705
162	15.80173524
163	15.79154314
164	15.77729318
165	15.77106664
166	15.76003059
167	15.74682525
168	15.73593483
169	15.72698712
170	15.71636902
171	15.70527335
172	15.69433318
173	15.66835141
174	15.64449637
175	15.62964098
176	15.62272903
177	15.61146406
178	15.58262703
179	15.57632314
180	15.57104885
181	15.5597369
182	15.55124147
183	15.52607864
184	15.5143456
185	15.50468095
186	15.49361844
187	15.48229148
188	15.47194852
189	15.45111263
190	15.44363415
191	15.43714822
192	15.42375472
193	15.40961494
194	15.39614506
195	15.38139702
196	15.37143886
197	15.36689179
198	15.35996697
199	15.34976106
200	15.33797978
201	15.33210494
202	15.31584781
203	15.30129036
204	15.29675421
205	15.2926021
206	15.27090825
207	15.26569294
208	15.25607939
209	15.24873525
210	15.24297079
211	15.23817585
212	15.23014064
213	15.22176514
214	15.21253898
215	15.20824575
216	15.20484889
217	15.1982445
218	15.18995583
219	15.18490266
220	15.18090525
221	15.16385565
222	15.1508514
223	15.14822686
224	15.13539121
225	15.11714713
226	15.11148817
227	15.10384708
228	15.09585781
229	15.08611727
230	15.07740307
231	15.06903074
232	15.05401755
233	15.0342974
234	15.02815741
235	15.02025825
236	15.00764875
237	15.00054417
238	14.99239015
239	14.98079729
240	14.97216387
241	14.96478781
242	14.95733247
243	14.95092222
244	14.9407229
245	14.93077652
246	14.92736869
247	14.92518924
248	14.9218777
249	14.91704806
250	14.91044395
251	14.89987867
252	14.8907549
253	14.88324904
254	14.87893751
255	14.87707161
256	14.87317578
257	14.8578067
258	14.84799773
259	14.83880276
260	14.82955222
261	14.82720806
262	14.819736
263	14.8127113
264	14.80563569
265	14.79842547
266	14.79462077
267	14.78113673
268	14.77696165
269	14.76713665
270	14.75743481
271	14.75534828
272	14.74624591
273	14.74011925
274	14.7320139
275	14.72389906
276	14.71369307
277	14.71146659
278	14.69829998
279	14.68941824
280	14.68568904
281	14.67607435
282	14.67443256
283	14.65555784
284	14.6425649
285	14.63226837
286	14.62930794
287	14.62752349
288	14.61662907
289	14.60703905
290	14.60113615
291	14.58869204
292	14.58201749
293	14.57941357
294	14.56470865
295	14.55841411
296	14.55629523
297	14.54942715
298	14.54637364
299	14.54123758
300	14.53510155
301	14.52961885
302	14.52228689
303	14.50755095
304	14.49332611
305	14.47435832
306	14.46845944
307	14.46374066
308	14.45006219
309	14.43648188
310	14.42944378
311	14.42169379
312	14.41321931
313	14.40789374
314	14.39766387
315	14.388592
316	14.38121762
317	14.37520738
318	14.36453628
319	14.35448527
320	14.34895347
321	14.34226854
322	14.32304226
323	14.31549746
324	14.31084746
325	14.30320474
326	14.28592795
327	14.27846546
328	14.2720904
329	14.26492496
330	14.26225778
331	14.25522647
332	14.24581516
333	14.24062981
334	14.23452164
335	14.22936686
336	14.21795002
337	14.21526158
338	14.20218832
339	14.19779031
340	14.18753407
341	14.18237252
342	14.17728645
343	14.16752174
344	14.16390335
345	14.15925979
346	14.15649871
347	14.14883961
348	14.13752074
349	14.12999574
350	14.12627768
351	14.11722464
352	14.11256145
353	14.10233372
354	14.09413608
355	14.08268343
356	14.06908538
357	14.06395297
358	14.05855373
359	14.0522386
360	14.04805666
361	14.04211433
362	14.03304703
363	14.02878195
364	14.0225262
365	14.00862834
366	14.00406285
367	13.99747021
368	13.99465147
369	13.9873224
370	13.9831141
371	13.97825953
372	13.97206513
373	13.9632482
374	13.95550157
375	13.95108697
376	13.94224712
377	13.93057081
378	13.92266222
379	13.91639561
380	13.91289434
381	13.90465308
382	13.90217998
383	13.89188432
384	13.88712294
385	13.88036874
386	13.87561127
387	13.87121388
388	13.85877179
389	13.84995326
390	13.84811908
391	13.84377066
392	13.83314021
393	13.8253811
394	13.80889779
395	13.80508405
396	13.79979958
397	13.79078294
398	13.78552306
